SL,playlistID,TrackName,TrackID,SampleURL,ReleaseYear,Genres,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,Popularity
0,4kpm50ItxF6iFUATTyQdOR,"Jeena Jeena (From ""Badlapur"")",6h09y5UH6sDRERJALlaJPi,https://p.scdn.co/mp3-preview/804fd0793a7a06c2a8567b40c99c85df1bf7009e?cid=6f011d3377f54821bb6607c002103317,2015-01-15,"['classic pakistani pop', 'desi pop', 'filmi', 'modern bollywood', 'sufi']",0.676,0.319,-9.201,0.0279,0.783,0,0.117,0.565,105.002,5,1,228969,67.0
1,4kpm50ItxF6iFUATTyQdOR,Samjhawan,0rk2X5TAhraBC5aCIXK2Rq,https://p.scdn.co/mp3-preview/c1f10ab622da6ca9279a4c35fc2498e39a457c56?cid=6f011d3377f54821bb6607c002103317,2014-06-19,"['classic pakistani pop', 'pakistani pop']",0.651,0.482,-8.666,0.0281,0.293,0,0.0811,0.517,106.993,4,1,269185,64.0
2,4kpm50ItxF6iFUATTyQdOR,"Tum Hi Ho Bandhu (From ""Cocktail"")",4pE05HNzmVFGpCOfNKE3w6,https://p.scdn.co/mp3-preview/19b13d9981089cc6ea7ad28ddcc0a672d0498211?cid=6f011d3377f54821bb6607c002103317,2012-06-12,"['desi hip hop', 'desi pop', 'filmi', 'modern bollywood']",0.714,0.892,-5.342,0.0516,0.00145,0.000817,0.0462,0.899,134.997,11,0,282012,66.0
3,4kpm50ItxF6iFUATTyQdOR,"Dooriyan (From ""Love Aaj Kal"")",4peiaLdhDgUgQ646Gpbvh3,https://p.scdn.co/mp3-preview/eba63b1b8a2605a1b960442786599f91737f0fb1?cid=6f011d3377f54821bb6607c002103317,2009,"['desi pop', 'filmi', 'modern bollywood']",0.517,0.716,-6.582,0.0509,0.611,0,0.11,0.594,122.952,7,0,337360,63.0
4,4kpm50ItxF6iFUATTyQdOR,"Galliyan (From ""Ek Villain"")",517bz7zkWELmyL4eZzJ5R9,https://p.scdn.co/mp3-preview/47e95f698a0a66d48ce96dde6f11b20ba65c0fc9?cid=6f011d3377f54821bb6607c002103317,2017-03-03,"['desi pop', 'filmi', 'modern bollywood']",0.552,0.75,-5.215,0.039,0.445,7.37e-05,0.291,0.4,89.999,10,0,340400,62.0
5,4kpm50ItxF6iFUATTyQdOR,Saibo,6udC4b4jOSnHb9ItnXgKLR,https://p.scdn.co/mp3-preview/db746c36ddad5e86478458bce4c402a3015e592a?cid=6f011d3377f54821bb6607c002103317,2011-03-28,"['desi pop', 'filmi', 'gujarati pop', 'modern bollywood']",0.619,0.429,-7.867,0.028,0.738,1.35e-05,0.136,0.545,90.058,2,1,195253,70.0
6,4kpm50ItxF6iFUATTyQdOR,"Banjaara (From ""Ek Villain"")",2S6N9pbnkhQRyAx80HmF79,https://p.scdn.co/mp3-preview/82af03f82e21c794fc68346776c865a2e14ef2e0?cid=6f011d3377f54821bb6607c002103317,2017-03-03,"['desi pop', 'filmi', 'modern bollywood']",0.657,0.489,-6.829,0.0306,0.713,0,0.124,0.399,116.0,1,0,336567,60.0
7,4kpm50ItxF6iFUATTyQdOR,Maula Mere Maula,4CGBTtlrjZj7ydpV52cgB4,https://p.scdn.co/mp3-preview/3161cb1eef34ef201816c875843823e643fac43e?cid=6f011d3377f54821bb6607c002103317,2007-01-12,"['classic bollywood', 'desi pop', 'filmi', 'modern bollywood', 'sufi']",0.549,0.737,-7.865,0.0386,0.459,0.00844,0.091,0.412,119.963,0,1,364330,64.0
8,4kpm50ItxF6iFUATTyQdOR,"Mann Mera (From ""Table No. 21"")",2BeY2dQPbD8xYxx3yhBTVD,https://p.scdn.co/mp3-preview/24a6a79ff0da6edbd554d310cc02aeb3e0fcc7fd?cid=6f011d3377f54821bb6607c002103317,2012-12-19,"['desi pop', 'filmi', 'modern bollywood']",0.54,0.774,-7.873,0.0444,0.0524,0,0.142,0.384,191.809,1,0,198125,70.0
9,4kpm50ItxF6iFUATTyQdOR,"Kaise Hua (From ""Kabir Singh"")",1y1rQTkWmrZdJmjwuK07GC,https://p.scdn.co/mp3-preview/14cbcb4b4e8b576ab794a238b85d45b7c32171b6?cid=6f011d3377f54821bb6607c002103317,2019-06-13,"['desi pop', 'modern bollywood']",0.385,0.464,-6.975,0.0404,0.452,0,0.109,0.15,137.839,2,1,234722,65.0
10,4kpm50ItxF6iFUATTyQdOR,"Humnava (From ""Hamari Adhuri Kahani"")",4wqyrrwu6HCZWqdbOx53JX,https://p.scdn.co/mp3-preview/e128bdd713f96d4e7ca12f5ce92820442d9ea58f?cid=6f011d3377f54821bb6607c002103317,2015-05-21,"['desi pop', 'filmi', 'modern bollywood', 'sufi']",0.341,0.478,-7.201,0.041,0.781,2.07e-05,0.147,0.276,199.435,4,0,328854,53.0
11,4kpm50ItxF6iFUATTyQdOR,Kabira-Naina,7l5Z4Z3eRvdC9MV1sdk0Ri,https://p.scdn.co/mp3-preview/e97833ab116de763a5ca243d9c2a92ba9942f05e?cid=6f011d3377f54821bb6607c002103317,2017-12-28,"['desi pop', 'filmi', 'modern bollywood']",0.471,0.586,-4.766,0.0511,0.534,0,0.0741,0.363,172.295,4,1,319626,47.0
12,4kpm50ItxF6iFUATTyQdOR,"Main Jahaan Rahoon (From ""Namastey London"")",1SPjyXQvDjvPA3hYhHvsO1,https://p.scdn.co/mp3-preview/6cf882b497c50654cabb84c4b75dfbd30c5561f9?cid=6f011d3377f54821bb6607c002103317,2007,"['classic pakistani pop', 'filmi', 'modern bollywood', 'qawwali', 'sufi']",0.584,0.556,-8.98,0.0514,0.362,2.9e-05,0.13,0.517,103.739,5,1,382493,57.0
13,4kpm50ItxF6iFUATTyQdOR,Baarish,16BGhwv8wYXkv2mMJF7ryv,https://p.scdn.co/mp3-preview/8f9ade5b085452f93565ae096d810bb918584a0f?cid=6f011d3377f54821bb6607c002103317,2017-04-30,"['desi pop', 'filmi', 'modern bollywood']",0.465,0.769,-3.209,0.0325,0.581,0,0.108,0.473,87.961,0,1,276380,66.0
14,4kpm50ItxF6iFUATTyQdOR,Khudaya Khair,2XYyriLyJSuGj4FN7QoNmM,https://p.scdn.co/mp3-preview/a6653170e69e14d7222b1a6eebc3c16e372e087c?cid=6f011d3377f54821bb6607c002103317,2009-01-05,"['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']",0.573,0.746,-5.699,0.0705,0.45,0,0.162,0.807,171.949,7,1,280558,55.0
15,4kpm50ItxF6iFUATTyQdOR,Tum Se Hi,7eQl3Yqv35ioqUfveKHitE,https://p.scdn.co/mp3-preview/2220f1d3926c3056dfd95a6078264707530d16e6?cid=6f011d3377f54821bb6607c002103317,2007-09-21,"['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']",0.609,0.538,-7.842,0.0273,0.328,0,0.125,0.608,130.015,6,1,321225,71.0
16,4kpm50ItxF6iFUATTyQdOR,Ajab Si,5FXMRdJjKq1BIX4e8Eg9mK,https://p.scdn.co/mp3-preview/cb790289d7d8c3c088c573eae76a8495404b6387?cid=6f011d3377f54821bb6607c002103317,2007-09-18,"['desi hip hop', 'desi pop', 'filmi', 'modern bollywood']",0.697,0.438,-8.411,0.0289,0.397,0,0.293,0.58,117.954,8,1,241668,69.0
17,4kpm50ItxF6iFUATTyQdOR,Abhi Kuch Dino Se,1QufGJee7k9v4Cfp2NxXbv,https://p.scdn.co/mp3-preview/d7c77b1857e43ef312c1e2405e851001837b71e2?cid=6f011d3377f54821bb6607c002103317,2010-12-23,"['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']",0.703,0.695,-5.518,0.118,0.654,0,0.103,0.683,92.003,4,1,285687,60.0
18,4kpm50ItxF6iFUATTyQdOR,Kabhi Kabhi Aditi,3APdIdF8H0jsxSuGOqXedS,https://p.scdn.co/mp3-preview/43516d29df4ca3554bd7a9253f8f4800e3fb331d?cid=6f011d3377f54821bb6607c002103317,2008-05-21,"['filmi', 'modern bollywood']",0.791,0.558,-7.155,0.0661,0.276,0,0.0859,0.872,95.077,7,0,218836,67.0
19,4kpm50ItxF6iFUATTyQdOR,Hey Ya !,1qTh7hzjd361hjuzeaMFWK,https://p.scdn.co/mp3-preview/69f03ceed5d004a73de6b23ce1864fac7a35cf74?cid=6f011d3377f54821bb6607c002103317,2010-01-18,"['filmi', 'modern bollywood']",0.799,0.588,-9.136,0.0302,0.184,2.68e-05,0.0788,0.789,115.087,7,0,254990,59.0
20,4kpm50ItxF6iFUATTyQdOR,Tumse Hi Tumse,6qNyL8lZuqFmy9ginJRQOZ,https://p.scdn.co/mp3-preview/588fd2ce74ebf45fec6d6cbcac8b7d0dd0b47d88?cid=6f011d3377f54821bb6607c002103317,2010-08-19,"['filmi', 'modern bollywood']",0.7,0.526,-6.246,0.0355,0.0981,0.471,0.102,0.774,92.015,0,1,261559,57.0
